id,title,author,reply_num,good,user_id,nickname,page
5987176242,教养方式不分一般儿童和特殊儿童,香帅特教老师,286,0,tb.1.d0e0d825.LVHPXc7_Alq-nlqNihmp3Q,😘看心情,1
6844677188,我是一名特教老师，同时也是一位闭娃的家长。我这里有微信群，群,图联,11,0,tb.1.f645d3fc.sP_NJn-W24K_IkLa8ghIXw,微睡微醉😄,1
6452840689,一个老家长对自闭症干预的一些经验之谈,门徒一员,710,0,tb.1.9a2c1f85.qIXLbjv7ebuZwyujHvCHpQ,希爸分享º,1
6832568434,各位家长每天给小朋友训练多长时间，训练什么内容,小芳的大表哥,17,0,tb.1.8abe4c79.SdbR53YneEB_g1ow81c0kw,,1
6859702842,分享：女，现住北京朝阳区，05年开始从事特殊儿童教育工作，经验丰富,要通关,0,0,tb.1.d1c67e36.H-87EPvf1gFTtorMCEnj-g,,1
6859497069,若命运不公，就和它斗到底,白杨河的船长,18,0,tb.1.cf94f83b.6zsigRYFMN_AwByDlNHptg,白杨河的船长🍀,1
6857108030,我儿子三岁七个月了，一岁多点就会叫爸爸，妈妈了。两天前被医生,ok我吃西红柿,37,0,tb.1.ff2a7bc7.48dAE6POIb6L3UJLzViPUQ,,1
6741655505,心里好难受，忍不住了，我需要倾诉需要发泄。女儿7个月5天，目,妈妈陪你吧,62,0,tb.1.e1389e62.DND6c2UqAfCe_z0Ekc3zQA,妈妈陪你🌸,1
6309828667,电视自闭症怎么治疗？我家从8个月开始每天用平板看宝宝巴士儿歌,苏幽幽Rainy,48,0,tb.1.509a9a9d.0WpSznZFMct0vLE3fAMohg,,1
5378380283,牛奶，鸡蛋严重不耐受，三岁了！,w柳暗花明q,20,0,tb.1.425522ef.mK8qxmqEj7sXnPTwvTob-w,,1
6825427704,干预之路，与之分享，仅仅是万里长征第一步,wencizhou,33,0,tb.1.957d85ef.e4vERfSD-iwNGkZx5wjQcg,wencizhou,1
5648059756,我所接触到的食物过敏导致自闭症治愈实例,真·绝对零度,1014,0,tb.1.c1439b65.yaFUIMqBG7hKDauHKupR1g,💫绝对零度💫,1
6599317821,食物不耐受 啥也不能吃，崩溃了。。。。。。。。。。。。,w99302042,20,0,tb.1.9dc8fdc9._t0b9gPreSUpdNUteGISUA,,1
6508821511,疑似自闭症谱系孩子的成长脱变与融合,米粒兔哥,1853,0,tb.1.446854a5.XhI9HuHykC90hgiKr4jqIQ,,1
6058513243,我典型重度自闭症的儿子爸爸实在是累了，爸爸不忍心带你一起走，,xhvvgh,165,0,tb.1.babea209.3ON5KsWFnUkkK6sIS54bDA,百因百必有果💯,1
6835399877,心情沉重了一个多月了，怪我的疏忽，儿子两岁十个多月查出来自闭,来看贴的啊,120,0,tb.1.4f35b558.GgRfTFn3MSUVRZll77prYg,,1
6668641659,开个贴准备从禁食开始记录他的每天变化。,huanghuiyi678,189,0,tb.1.3658885b.QWg2yLH8BLGkqbWrf0RBVw,,1
6859999593,今天送宝宝去托班了，希望宝宝会有进步！祈祷！！！,X线CT,3,0,tb.1.1917d9e1.z_7YYjxXUDFja2OeuWzM5g,,1
5196649597,请问江西南昌有什么地方可以治疗孩子自闭症的,19930312cR,8,0,tb.1.d86b4400.gQuLQ8Kjb54LyDGJ-8tH3g,,1
6859562239,吧里有河南的星妈么？请问河南哪个干预机构好一些？,水瓶座莹宝,6,0,tb.1.4b56b0e4.VP_OvdYjVPAtONNkZ6xlfA,,1
3517240109,初禾2015报名进行中,初禾儿童教育,5,0,tb.1.2f0f2b2b.QWc6O89e26C3y5CEAbcKFA,,1
5229359551,自闭症儿童一对一干预机构,初禾儿童教育,7,0,tb.1.2f0f2b2b.QWc6O89e26C3y5CEAbcKFA,,1
6840386753,很迷茫，憋的难受！！！,gaoxin419921,196,0,tb.1.5cb97419.n8i--Uu65VV6IfwCKjUxOQ,☞鑫鑫☜的孩子,1
5962949093,亦庄自闭症机构,初禾儿童教育,2,0,tb.1.2f0f2b2b.QWc6O89e26C3y5CEAbcKFA,,1
6858091470,记入儿子被诊断为疑似自闭症。1周8不应名，叫他没反应，眼神交,哈哈嘿嘿哈天枰,11,0,tb.1.84dcbb5b.EqVIRCtngBVaM6-An8iCTA,,1
6648613805,有没有看过郭延庆的我家宝宝快2周岁了，今天去看郭延庆，诊断自,,7,0,tb.1.e3bbf7c2.DSrEmraah6slWg1MV9dgBA,贴吧用户_QG8GSWb,1
6145238166,真实案例：爸妈治好了我的自闭症，破除迷雾给予我新的生命,孤独星球小怪兽,150,0,tb.1.57101c1f.GIWc6tPLd7_DxuLS75amlg,,1
6648539743,有没有听说或者使用过孕智贝佳的产品 说是治疗语言迟缓 三岁半,,20,0,tb.1.e3bbf7c2.DSrEmraah6slWg1MV9dgBA,贴吧用户_QG8GSWb,1
6710141351,我是一名自闭症康复师，建了家长交流的微信群，大家可以多交流！,贝蓓学习资料,9,0,tb.1.77937fdc.E5gwT_0sXgbtQ9tV8FOAew,,1
6859744175,（补贴200元）我是一名研究生，毕业论文研究的是自闭症儿童母,冰菓Iscream,2,0,tb.1.5bc2d4d.FTbRgKpDEHQv1AquuQksgg,,1
6859829206,八岁的儿童自闭做康复能好吗？是先做康复还是先上学？,幸福小草8,2,0,tb.1.18869309.vQhvI7RqRkFeoRQYjxxqhA,,1
6776062278,我有全国各地的自闭症家长的交流群，想进群的留下微信,康语康复中心,37,0,tb.1.b9c2abe5.7LbirSA965Ldk5sTLDcDBg,贴吧用户_7ANE7JR,1
6772893927,自闭症饮食调理有作用的家长，可以进来探讨。把孩子通过饮食改善,卡西尼卫浴qxy,68,0,tb.1.bd215afe.qZOJI6X2nxCeATb648tbFg,自闭症调理😇,1
5362722994,自闭症孩子的最终出路还是要让小孩上学,曾禄生,204,0,tb.1.1d92f256.M3seeplXQe5esV-5Ba7bDQ,,1
6858174007,想学习自闭症家庭干预方法，有什么好的方法吗？,夜星海_44,8,0,tb.1.23de8a6f.BFVu4ikVFKbRAC5VR6nMPA,,1
6840369825,提醒各位家长不要轻信所谓的专家,糖水龙炎,62,0,tb.1.30da2bfb.Z4or1Sc5WVccI04r0LEToA,,1
6711227058,说说我家孩子的情况吧2017年4月出生的。一岁以内各方面正常,beijijiye,36,0,tb.1.7b2cc451.78ot4ogcMIXUCkJD_MS5AA,,1
6847581075,重新建了自闭症儿童家长交流群，之前的满200人了，不能进群了,维儿康wek,7,0,tb.1.aad7e794.LlxLoOpGOqoqd8SSXdu4vg,,1
6817038187,星康星康万寿无疆，傻子们星康欢迎你们。,,5,0,tb.1.112ebbed.xGwDsTBl07smy6jvn4udVg,贴吧用户_54JEa4t,1
6859764143,本来是孑然一身想在人间好好闯荡一番的男人。然而有了孩子，也有,星星的领路人,5,0,tb.1.c06e57ea.SthXKsY51GZudB-enDOh5w,,1
6848089164,上海     特教老师        1对1,诗经思无邪,8,0,tb.1.a812e87d.U7yjU4svn_cVLn1gmqRiOA,,1
6683596514,还是记录一下吧！也不知道能记录到什么时候！更不确定儿子以后会,可以更好的加油,135,0,tb.1.41fc9398.RsrOkBR0clbC9D0xAD39hA,,1
6857983636,你们的去检查的时候有没有智力发育落后的情况？想问一下，这种智,婷婷的专属之神,12,0,tb.1.5ae47b41.3DvUD_2lJijNjdyA5FpcSQ,,1
6083035540,今天看了郭延庆归来。,不言而喻谢,227,0,tb.1.af98e0f9.xOWb6UiPYbQRSKtbfAHsNQ,做事要有计划👦,1
6827476413,上海家长 | 在建分享信息和资料群 需要的家长可以进来,大道至简1803,10,0,tb.1.62d4f715.xpLd1uVOvVOi3Dd-eyEU4g,,1
6746054452,三岁男孩患自闭症父母极度焦虑   菌群移植迎来新机,卡西尼卫浴qxy,61,0,tb.1.bd215afe.qZOJI6X2nxCeATb648tbFg,自闭症调理😇,1
5478461665,记录我和我儿子的“奋斗史”（持续更新）,石榴树上的花,187,0,tb.1.8dcc66ec.IO9Ly7nedCWvynK_6mKWgw,,1
6300040084,开个贴，说下自己孩子的一些情况,c315651474,163,0,tb.1.516f7622.JZWrFfB9r7xLcIEC3cMjWQ,,1
6842845269,发病的次数越来越频繁了，每天狂躁起来，打自己，用尽全力打自己,喵00喵00喵,71,0,tb.1.37543889.9lPWytXAP6Xt04oYudbLAQ,迪D🌺,2
5252651683,南京脑科医院柯晓燕怎么预约挂号,wuyuqiong163,38,0,tb.1.fd67d0fc.BL5jrv3rsbAq82y1pUZBjg,,2
6859622243,晚上不睡觉，睡也是又浅又少，吃点什么药管用，白天也一会不闲着,儿子我爱你99,0,0,tb.1.13f32dbf.gzWHIX3CBas7MB_mXYMgfg,拥着我入睡💍,2
6746144891,孩子要不要送去托儿班？我想把他送去和其他小朋友多接触一下，哪,九百九十九元,61,0,tb.1.e0ea2ae6.7ODqQoC7ER6ldLc-jM6l7g,,2
6859591943,好无助，从小父母离异，被奶奶带大，去年去世了，一个人来到这陌,富一代v,0,0,tb.1.fd2ca93a.bzFJIwNrwH-XYG07KtHczg,正道是沧桑🌿,2
5619966752,想去北京六院，挂号太难了,三分宁静2013,74,0,tb.1.f5372387.RR-5DpPn04EaGrLGnNwfYA,🌱那年1982,2
6069866906,大家看看我的孩子是迟缓还是自闭症2周半，1岁之前爱生病 ，经,,10,0,tb.1.334ed812.skukhq-b89k1JbVdeK31og,贴吧用户_55y766M,2
6665716888,关于孤独症家长需要知道的。,隐者落寞,533,0,tb.1.7f4078fc.J90GGm5nKedvGPUuvlDoRQ,,2
6130231510,两岁半 零语言的星星 康复记录,╰休つ,181,0,tb.1.76c7dce1.-rxFH4ymMHOBI3AC39677w,,2
6284263531,锦锦成长日记,小美美美美11,673,0,tb.1.9a1ee7ca.7j-OgdDlcDRS_nCuD9g6Aw,,2
4119760760,我家孩子自闭症康复之路,么么哒bb1,641,true,tb.1.715211f2.I5QzrXxMCBYD1YwECMrgNA,,2
6850880103,给大家一点信心吧,zyljq536,75,0,tb.1.6ca1878d.mBZzggsI7kHvdMYmR-e4AQ,,2
6324979203,自闭症儿童家长居家干预心得-症状篇,liyang5813615,39,0,tb.1.1c9ba504.toIleXrW7n7E4z0bxI6fAg,阿辰健康万岁🌴,2
6853854381,轻中度是什么程度 干预后能摘帽吗,Haftfghdfvgvg,15,0,tb.1.8b7f5423.ORaORkLBHH2xwW4nWL45RQ,沐辰光💯,2
6858718893,各位宝宝家长，我家宝宝2岁半了，走路平衡差，独立站不住，胆子,大力乾坤哥,4,0,tb.1.fb0c1ae4.qqmpJQfBTGjL1kMmIkSztw,,2
5509384748,饮食，疫苗，转基因食品与自闭症的联系。,刘文采他大爷,1517,0,tb.1.dee59af3.9d8pwgi_BBJoC_Qv7Id5vw,,2
6699788519,互相交流下吧！孩子3周11月，最近我感觉语言开始增多，刚问他,,22,0,tb.1.95f851bd.9Y8z-2aGfoBlNTYew_WWeA,春暖花开🌺🍁🍁,2
5974589717,帮我看一下1岁半的儿子谢谢！1.不应名，无论怎么喊都没用，在,orangejiejie,32,0,tb.1.4dd0a97f.J4E4WEVlAoi8AW0qJsh0Gg,,2
6427355485,问一下中美星星桥LSP康复法怎么样啊。,158498821,8,0,tb.1.a3ee50be.Tzmj99d6BdR_yO4V3spJAA,,2
6196095368,最近孩子被确诊自闭症了，大夫推荐我们关注“中美星星桥”，我想,圈15619633,17,0,tb.1.1988f06.1iozZaEPlqTP3DvgFIvUEA,,2
6055474451,有人买过择思达斯的经颅磁吗 据说治疗语言发育迟缓 自闭 多动,桐宝2034,135,0,tb.1.782726e7.1y41G2u0VRt1E2QYJGp7Aw,,2
6836935451,睡不着翻看以前孩子的照片和视频，一岁半以前是那么活泼机灵的孩,镜子Rachel,16,0,tb.1.a1af12bc.RxSlI6GThA7HBotI6PF1yA,胖妈妈º,2
6859121613,儿童自闭症干预石家庄星康自闭症连锁品牌是经教育、医疗、民政部,一只小迷妹哈,0,0,tb.1.3b109c90.seD5Cg0M2m057-pWKXBoBQ,,2
6859120282,请问河北儿童自闭症哪个医院好呀星康自闭症连锁品牌按照特殊教育,一只小迷妹哈,0,0,tb.1.3b109c90.seD5Cg0M2m057-pWKXBoBQ,,2
5782608795,群里有髓鞘化不良的宝宝吗,wangthousand,123,0,tb.1.3be99ab1.cjDtPZBonheWEmP0wkshNw,,2
6033002184,我是一名自闭症干预老师，我希望能用我的所学帮到各位家长，关于,尹MissYin,421,0,tb.1.71c893af.uy9GdtMDZgvokka4xWr6DA,💯Yin💯,2
6672828622,有没有两周宝宝测评过Ados，我们家宝宝测评得了8分，是可以,11__泡沫,10,0,tb.1.4525eb1a.nxNcONHxlNUzLsUq53Zjvw,,2
6072393682,三岁一个月不会说话去医院检查让做自闭症检查我拒绝了,xlmn2,92,0,tb.1.2ddfe3e.zgvy32gC9VQeUE66SRuv1w,,2
5522997634,一岁十个月不会说话。,寂寥不是病,6,0,tb.1.ab36aa5c.YiR-eaW5bcaxBWFQ9t-OiQ,,2
6652485241,眼看马上要进行幼儿园招生了 我儿子今年适龄要上幼儿园了 心里,尐繱繱onion,83,0,tb.1.c73a9cdd.F0ITK5chiYvio-NC4i0k7g,,2
6859026402,原来这才是让我们活在病痛的真正原因！,wuzhilinaini,0,0,tb.1.907e0c3c.A2mKT-ilkpj3YaTPPThPGQ,,2
6119752419,请问有去看过许鹏飞或尤欣的吗？想问问他们俩的治疗有效果吗？,山雾之森,27,0,tb.1.44c84919.lzXs4zlTBkLxPJnC57H4qQ,,2
6173977244,请问大家，自闭症倾向孩子需要断食奶蛋面，这有效果吗？我宝宝真,绿萝vv,13,0,tb.1.30b8a684.2EQF05X7-HHmrAEpLzujSA,,2
6401894666,心里焦虑，着急，不知道宝宝是自闭症,嘀嘀和借借,74,0,tb.1.cedc5285.nE_J6tEEiDpykB5BlNrpGw,滴滴雨🐵,2
6858905816,星康连锁品牌成立于2010年，由民政部门批准的民办非企业单位,,0,0,tb.1.93c4f473.ywFRpGnlcRMQn7B3rE5sTg,贴吧用户_aAEZyGQ,2
6651310490,非常有经验请你帮我参考一下我儿子现在24个月20多天，孩子不,,139,0,tb.1.19fb501f.HMcs38g3e7cOvbUJZJchsw,维维妈妈🍼,2
6858902695,星康儿童自闭症研究中心，是针对儿童自闭症及相关病症康复的研究,,0,0,tb.1.93c4f473.ywFRpGnlcRMQn7B3rE5sTg,贴吧用户_aAEZyGQ,2
6858903504,星康自闭症连锁品牌是河北省自闭症研究会会长单位，成立于201,,0,0,tb.1.93c4f473.ywFRpGnlcRMQn7B3rE5sTg,贴吧用户_aAEZyGQ,2
6194047273,孩子两岁2个月了，什么话都听不懂也说不来，别诊断为孤独症谱系,minnie婷婷肉,387,0,tb.1.53dc3506.aSpWOdqlLJxH_131NRkhPg,,2
6853092310,郭延庆的号怎么挂,镜子Rachel,1,0,tb.1.a1af12bc.RxSlI6GThA7HBotI6PF1yA,胖妈妈º,2
6046608709,江西上饶这边有没有自闭症康复的机构！,龙虎山上仙问道,14,0,tb.1.49039aa0.AA-DR5L4k6tzG-b1hn04bQ,,2
6448774438,记录下去，看看是发育迟缓还是自闭,vevemylove,30,0,tb.1.1957d6bd.OW_wkiNRYC1ZADOw-zD8kw,,2
5866588853,有小孩子也是出去乱跑不听指令的吗,阳阳__晴晴,88,0,tb.1.68d7125c.oMKlCrJRi2uUk3mQPDFtlQ,,2
6858706882,成都儿童自闭症，儿童自闭症能治愈吗？,CD西南儿童医院,10,0,tb.1.5d714fb5.xen05o3U7S25e98J2cZ3Qw,,2
5627701126,一个礼拜内看了贾美香和郭延庆,marycold,110,0,tb.1.133c7757.GIPNIFuPTO9CC3aFRmZYxQ,,2
